_id,aula,sede,polo,inDate,date,posto,outDate
5fa8f8d91bd2a03f4641a1bc,3,1,3,2020-11-09T08:07:53.714Z,2020-11-09,9,2020-11-09T12:05:00.407Z
5fa8f8dc1bd2a03f4641a1bd,3,1,3,2020-11-09T08:07:56.465Z,2020-11-09,10,2020-11-09T12:05:00.408Z
5fa8f8dc1bd2a03f4641a1be,1,1,5,2020-11-09T08:07:56.853Z,2020-11-09,16,2020-11-09T10:26:36.710Z
5fa8f8e01bd2a03f4641a1bf,1,1,5,2020-11-09T08:08:00.752Z,2020-11-09,17,2020-11-09T10:26:07.285Z
5fa8f8e31bd2a03f4641a1c0,1,1,5,2020-11-09T08:08:03.936Z,2020-11-09,18,2020-11-09T10:17:27.101Z
5fa8f8e61bd2a03f4641a1c1,1,1,5,2020-11-09T08:08:06.495Z,2020-11-09,19,2020-11-09T10:10:46.302Z
5fa8f8ee1bd2a03f4641a1c2,1,1,5,2020-11-09T08:08:14.819Z,2020-11-09,20,2020-11-09T10:11:54.588Z
5fa8f9011bd2a03f4641a1c3,1,1,5,2020-11-09T08:08:33.005Z,2020-11-09,21,2020-11-09T10:08:09.273Z
5fa8f90a1bd2a03f4641a1c4,1,1,5,2020-11-09T08:08:42.785Z,2020-11-09,22,2020-11-09T10:14:37.271Z
5fa8f9111bd2a03f4641a1c5,9,2,4,2020-11-09T08:08:49.471Z,2020-11-09,3,2020-11-09T12:02:50.316Z
5fa8f91b1bd2a03f4641a1c6,1,1,5,2020-11-09T08:08:59.908Z,2020-11-09,23,2020-11-09T10:15:04.648Z
5fa8f9211bd2a03f4641a1c7,1,1,5,2020-11-09T08:09:05.830Z,2020-11-09,24,2020-11-09T10:15:19.005Z
5fa8f9251bd2a03f4641a1c8,1,1,5,2020-11-09T08:09:09.205Z,2020-11-09,25,2020-11-09T10:10:27.068Z
5fa8f9261bd2a03f4641a1c9,8,2,4,2020-11-09T08:09:10.071Z,2020-11-09,10,2020-11-09T12:05:00.410Z
5fa8f9301bd2a03f4641a1ca,8,2,4,2020-11-09T08:09:20.689Z,2020-11-09,11,2020-11-09T12:05:00.411Z
5fa8f9341bd2a03f4641a1cb,8,2,4,2020-11-09T08:09:24.749Z,2020-11-09,12,2020-11-09T12:05:00.412Z
5fa8f9381bd2a03f4641a1cc,3,1,3,2020-11-09T08:09:28.587Z,2020-11-09,11,2020-11-09T12:05:00.413Z
